Date,Open,High,Low,Close,Adj Close,Volume,,
10/11/19,1350.89,1352.78,1324.00,1339.90,1326.61,7659571,,
10/14/19,1352.13,1352.13,1338.17,1345.25,1331.91,6181455,,
10/15/19,1349.71,1357.14,1341.58,1351.34,1337.94,4463991,,
10/16/19,1357.04,1366.70,1350.89,1359.46,1345.98,8954786,,
10/17/19,1362.09,1385.86,1359.12,1383.39,1369.67,7401968,,
10/18/19,1390.82,1414.49,1385.57,1403.05,1389.14,12978275,,
10/22/19,1411.62,1423.36,1390.17,1400.87,1386.98,12823466,,
10/23/19,1403.00,1412.56,1370.16,1379.33,1365.65,8512900,,
10/24/19,1387.84,1427.87,1373.53,1422.96,1408.85,10449504,,
10/25/19,1427.57,1427.91,1398.00,1417.76,1403.70,6248688,,
10/27/19,1427.47,1431.43,1416.57,1420.78,1406.69,1391348,,
10/29/19,1431.93,1466.10,1428.56,1453.27,1438.86,11892161,,
10/30/19,1466.10,1470.61,1446.59,1465.21,1450.68,7541537,,
10/31/19,1470.07,1475.66,1447.97,1450.60,1436.22,8982513,,
11/1/19,1441.34,1448.07,1427.47,1443.22,1428.91,6416833,,
11/4/19,1452.14,1457.19,1431.53,1443.96,1429.64,6490272,,
11/5/19,1449.36,1455.16,1427.47,1433.71,1419.49,5854289,,
11/6/19,1429.15,1432.87,1415.09,1421.43,1407.33,6749668,,
11/7/19,1421.53,1449.26,1418.75,1444.90,1430.58,6499781,,
11/8/19,1435.39,1445.94,1427.77,1431.93,1417.73,5546929,,
11/11/19,1425.59,1430.69,1409.19,1414.39,1400.37,5241641,,
11/13/19,1416.57,1462.04,1416.57,1458.48,1444.01,11641679,,
11/14/19,1462.14,1467.69,1442.13,1449.01,1434.65,6580126,,
11/15/19,1451.89,1472.84,1449.41,1457.04,1442.59,7241673,,
11/18/19,1458.82,1472.05,1441.73,1445.50,1431.16,6496095,,
11/19/19,1453.22,1500.68,1451.24,1495.57,1480.74,13926337,,
11/20/19,1540.45,1557.64,1528.71,1533.12,1517.91,20092835,,
11/21/19,1530.49,1541.39,1514.20,1523.16,1508.06,6875134,,
11/22/19,1527.62,1554.76,1523.16,1531.98,1516.79,10315843,,
